iter	Logloss
0	0.6896201238
1	0.6862701898
2	0.6829507476
3	0.6788233478
4	0.675639514
5	0.6725488431
6	0.6692631018
7	0.6669125366
8	0.6638848715
9	0.6608806961
10	0.6577279111
11	0.655361464
12	0.651831843
13	0.6487473757
14	0.6455749135
15	0.642195726
16	0.6398674911
17	0.6370170111
18	0.6344904707
19	0.6323956811
20	0.6296282008
21	0.6271716316
22	0.6253172067
23	0.6228845873
24	0.6196503806
25	0.6169048366
26	0.6144549559
27	0.6118492973
28	0.6095371539
29	0.6077062049
30	0.6054703874
31	0.6033570654
32	0.6013467727
33	0.5993195327
34	0.5971368121
35	0.594986246
36	0.5929584387
37	0.5903279625
38	0.5880861197
39	0.5856116774
40	0.5835521153
41	0.581564178
42	0.5794222813
43	0.5771370593
44	0.5753148698
45	0.5733222037
46	0.5715956355
47	0.5698540563
48	0.5680723477
49	0.5661399007
50	0.5639516491
51	0.5621966253
52	0.5608177944
53	0.5589581118
54	0.5569572098
55	0.5554586276
56	0.5536446038
57	0.5518354154
58	0.5500398796
59	0.5482095577
60	0.5470411513
61	0.5453608026
62	0.5434742221
63	0.541681037
64	0.5400123462
65	0.5389171864
66	0.5374785106
67	0.5365113128
68	0.535115409
69	0.5343002235
70	0.5331450186
71	0.5323395759
72	0.5307318548
73	0.5292349769
74	0.5274718399
75	0.5257036738
76	0.5244465247
77	0.5231351554
78	0.5215733135
79	0.520235834
80	0.5191440527
81	0.5178168322
82	0.5165037021
83	0.514935627
84	0.5136511027
85	0.5123979324
86	0.5110248686
87	0.509870595
88	0.5085965008
89	0.5071069209
90	0.5062182699
91	0.5052246638
92	0.5039946124
93	0.5027032075
94	0.5020281901
95	0.5010938273
96	0.5001309079
97	0.4995635953
98	0.4984886158
99	0.4974856486
100	0.4964195901
101	0.4952025553
102	0.4941560146
103	0.4929811918
104	0.4918735702
105	0.4910871968
106	0.490261765
107	0.4892307878
108	0.4882121737
109	0.4873704338
110	0.4868040201
111	0.4857581952
112	0.4845850183
113	0.4835362283
114	0.4823725299
115	0.4821233702
116	0.4807451914
117	0.479899857
118	0.4791746791
119	0.4781773353
120	0.4775261923
121	0.4769185124
122	0.4760827234
123	0.475420766
124	0.474535748
125	0.4736536095
126	0.4727597811
127	0.4715793336
128	0.4708111838
129	0.4700005247
130	0.4688930962
131	0.4683198397
132	0.4674723379
133	0.4667180112
134	0.466172956
135	0.4655258102
136	0.4646941776
137	0.4640644202
138	0.4630229927
139	0.4619437937
140	0.4612728412
141	0.4606419181
142	0.4600809181
143	0.4590920677
144	0.4579769374
145	0.457068709
146	0.4563745637
147	0.4557022847
148	0.4546422148
149	0.4540207374
150	0.4530887663
151	0.4523401692
152	0.4516976198
153	0.4509157614
154	0.4501761281
155	0.4492749882
156	0.4485013924
157	0.448086059
158	0.4473364442
159	0.4465859503
160	0.4457153232
161	0.4451005228
162	0.4445107402
163	0.4438260741
164	0.443071588
165	0.442511733
166	0.4418933936
167	0.441346179
168	0.4406744216
169	0.4401205514
170	0.4389298627
171	0.4383101066
172	0.4374202805
173	0.4365892562
174	0.4360200003
175	0.4351619839
176	0.4346472756
177	0.4341713123
178	0.4336740524
179	0.4330897884
180	0.4324990879
181	0.4319560824
182	0.4312969202
183	0.4304222928
184	0.4298231225
185	0.4293070944
186	0.4287576667
187	0.4283222575
188	0.4278366848
189	0.4271199844
190	0.4266034927
191	0.425671786
192	0.4248550305
193	0.4242730418
194	0.4235328427
195	0.4226305744
196	0.4220202365
197	0.42121096
198	0.4201845195
199	0.4196638674
200	0.4191276477
201	0.4182374387
202	0.4179297434
203	0.4173564051
204	0.4167922958
205	0.416296659
206	0.41595339
207	0.4152670973
208	0.4145237746
209	0.4139575965
210	0.4133443687
211	0.4126696369
212	0.4120810707
213	0.4110102603
214	0.4103252488
215	0.4096999021
216	0.4090326163
217	0.4085630762
218	0.4080888542
219	0.4076258434
220	0.4072431402
221	0.4067864775
222	0.4061825409
223	0.4055668821
224	0.4049928231
225	0.4042627798
226	0.4033132744
227	0.4027661189
228	0.4021822171
229	0.4015701069
230	0.4009954392
231	0.4001010767
232	0.3995103592
233	0.3990335999
234	0.3987367713
235	0.3981592976
236	0.3975861318
237	0.3971299786
238	0.3964296765
239	0.3957005649
240	0.3951826612
241	0.3946970055
242	0.3942619486
243	0.3938634726
244	0.3932560153
245	0.3928693064
246	0.3923536925
247	0.3915267963
248	0.3909958965
249	0.3905671572
250	0.390045826
251	0.3895261786
252	0.3890739962
253	0.3884808251
254	0.3879774464
255	0.387311996
256	0.3868205294
257	0.3862008032
258	0.3857674897
259	0.3851462341
260	0.3846024109
261	0.3841999436
262	0.3837169248
263	0.3831458027
